--Meta Data--,,,,,,,,,
Start Time(UTC),LoggerName,Pck,Vin,,,,,,
11/19/18 13:01,9170-0393,,,,,,,,
,,,,,,,,,
--Raw Data--,,,,,,,,,
Timestamp(ms),Altitude[m],HV Battery Current[A],HV Battery SOC[%],HV Battery Voltage[V],Is Driving[bool],Latitude[deg],Longitude[deg],OAT[degC],Vehicle Speed[km/h]
3158700,77.59999847,58.25,49.5,326,1,41.48935806,-71.52190167,6,23
3159700,77.59999847,5,49.5,323.5,1,41.48935806,-71.52190167,6,17
3160700,77.59999847,-1.25,49.5,323,1,41.48935806,-71.52190167,6,14
3161700,77.59999847,-1,49.5,323,1,41.48935806,-71.52190167,6,12
3162700,77.59999847,-1,49.5,323,1,41.48935806,-71.52190167,6,12
3163700,77.59999847,-18.75,49.5,321.75,1,41.48935806,-71.52190167,6,13
3164700,77.59999847,-1.5,49.5,322.25,1,41.48935806,-71.52190167,6,15
3165700,77.59999847,-1,49.5,322.75,1,41.48935806,-71.52190167,6,15
3166700,78,6.5,49.5,323,1,41.48918694,-71.52188194,6,15
3167700,78,4.75,49.5,323.25,1,41.48918694,-71.52188194,6,10
3168700,78,-2.75,49.5,322.75,1,41.48918694,-71.52188194,6,4
3169700,78,-2.75,49.5,322.75,1,41.48918694,-71.52188194,6,4
3170700,78,-18,49.5,323,1,41.48918694,-71.52188194,6,2
3171700,78,-18,49.5,322.25,1,41.48918694,-71.52188194,6,2
3172700,78,-13.5,49.5,323,1,41.48918694,-71.52188194,6,4
3173700,78,-2,49.5,323,1,41.48918694,-71.52188194,6,4
3174700,78,-1.25,49.5,323.25,1,41.48918694,-71.52188194,6,3
3175700,78,-1.25,49.5,322.75,1,41.48918694,-71.52188194,6,1
3176700,78.30000305,-18.25,49.5,322.75,1,41.48918417,-71.52187111,6,1
3177700,78.30000305,-1.75,49.5,323.25,1,41.48918417,-71.52187111,6,5
3178700,78.30000305,-1.75,49.5,323.25,1,41.48918417,-71.52187111,6,5
3179700,78.30000305,-1.75,49.5,323.25,1,41.48918417,-71.52187111,6,3
3180700,78.30000305,-8.25,49.5,323.25,1,41.48918417,-71.52187111,6,3
3181700,78.30000305,-8.25,49.5,323.25,1,41.48918417,-71.52187111,6,3
3182700,78.30000305,-8.25,49.5,323.25,1,41.48918417,-71.52187111,6,3
3183700,78.30000305,-8.25,49.5,323.25,1,41.48918417,-71.52187111,6,3
3184700,78.30000305,-8.25,49.5,323.25,1,41.48918417,-71.52187111,6,3
3185700,78.30000305,-8.25,49.5,323.25,1,41.48918417,-71.52187111,6,3
3186700,78.30000305,-8.25,49.5,323.25,1,41.48918417,-71.52187111,6,3
3187700,78.30000305,-8.25,49.5,323.25,1,41.48918417,-71.52187111,6,3
3188700,78.30000305,-8.25,49.5,323.25,1,41.48918417,-71.52187111,6,3
3189700,78.30000305,-8.25,49.5,323.25,1,41.48918417,-71.52187111,6,3
3190700,79.09999847,-4.25,49.5,323.25,1,41.489165,-71.52181417,6,3
3191700,79.09999847,-1.75,49.5,322.5,1,41.489165,-71.52181417,6,5
3192700,79.09999847,-1.75,49.5,323.25,1,41.489165,-71.52181417,6,5
3193700,79.09999847,-1.25,49.5,323.5,1,41.489165,-71.52181417,6,4
3194700,79.09999847,-7,49.5,323.25,1,41.489165,-71.52181417,6,9
3195700,79.09999847,-41.5,49.5,321.5,1,41.489165,-71.52181417,6,17
3196700,79.09999847,-50,49.5,319.75,1,41.489165,-71.52181417,6,17
3197700,79.09999847,-1.5,49.5,323.25,1,41.489165,-71.52181417,6,14
3198700,79.09999847,22.75,49.5,324.5,1,41.489165,-71.52181417,6,8
3199700,79.09999847,6,49.5,324,1,41.489165,-71.52181417,6,4
3200700,78.30000305,-2.25,49.5,323.5,1,41.48928417,-71.52165167,6,11
3201700,78.30000305,-72.5,49.5,319.75,1,41.48928417,-71.52165167,6,22
3202700,78.30000305,-133.25,49.5,316.25,1,41.48928417,-71.52165167,6,35
3203700,78.30000305,-254.5,49.5,309.25,1,41.48928417,-71.52165167,6,51
3204700,78.30000305,-355.25,49.5,303,1,41.48928417,-71.52165167,6,60
3205700,78.30000305,-6.75,49.5,321,1,41.48928417,-71.52165167,6,61
3206700,78.30000305,0,49.5,322.25,1,41.48928417,-71.52165167,6,62
3207700,78.30000305,2.25,49.5,322.25,1,41.48928417,-71.52165167,6,64
3208700,78.30000305,-1.25,49.5,322.5,1,41.48928417,-71.52165167,6,65
3209700,78.30000305,2.75,49.5,322.5,1,41.48928417,-71.52165167,6,65
3210700,70.19999695,72.25,49.5,326.5,1,41.48975944,-71.52319361,6,61
3211700,70.19999695,130.25,49.5,330,1,41.48975944,-71.52319361,6,55
3212700,70.19999695,130.25,49.5,330.5,1,41.48975944,-71.52319361,6,55
3213700,70.19999695,127,49.5,330.5,1,41.48975944,-71.52319361,6,45
3214700,70.19999695,129,49.5,330.5,1,41.48975944,-71.52319361,6,34
3215700,70.19999695,127,49.5,330.75,1,41.48975944,-71.52319361,6,23
3216700,70.19999695,86.5,49.5,329,1,41.48975944,-71.52319361,6,13
3217700,70.19999695,26.5,49.5,325.5,1,41.48975944,-71.52319361,6,5
3218700,70.19999695,-0.75,49.5,323.75,1,41.48975944,-71.52319361,6,6
3219700,70.19999695,-35,49.5,322,1,41.48975944,-71.52319361,6,16
3220700,63.40000153,-101.75,49.5,318.25,1,41.49005,-71.52407583,6,28
3221700,63.40000153,-161.75,49.5,315.25,1,41.49005,-71.52407583,6,39
3222700,63.40000153,-209.5,49.5,312,1,41.49005,-71.52407583,6,50
3223700,63.40000153,-268.25,49.5,308.25,1,41.49005,-71.52407583,6,61
3224700,63.40000153,-295,49.5,306.5,1,41.49005,-71.52407583,6,70
3225700,63.40000153,-292.25,49.5,306.25,1,41.49005,-71.52407583,6,77
3226700,63.40000153,-34,49.5,317,1,41.49005,-71.52407583,6,76
3227700,63.40000153,1.25,49.5,322,1,41.49005,-71.52407583,6,75
3228700,63.40000153,-3.5,49.5,321.75,1,41.49005,-71.52407583,6,74
3229700,63.40000153,-6,49.5,322.25,1,41.49005,-71.52407583,6,75
3230700,62.20000076,-1.25,49.5,322,1,41.49048556,-71.52610194,6,75
3231700,62.20000076,-1,49,322.25,1,41.49048556,-71.52610194,6,75
3232700,62.20000076,-7.5,49,322.5,1,41.49048556,-71.52610194,6,76
3233700,62.20000076,1,49,322.25,1,41.49048556,-71.52610194,6,77
3234700,62.20000076,-1.75,49,322.5,1,41.49048556,-71.52610194,6,77
3235700,62.20000076,2,49,322.25,1,41.49048556,-71.52610194,6,77
3236700,62.20000076,2,49,321.25,1,41.49048556,-71.52610194,6,77
3237700,62.20000076,-12.5,49,322.25,1,41.49048556,-71.52610194,6,77
3238700,62.20000076,-7.25,49,322.25,1,41.49048556,-71.52610194,6,77
3239700,62.20000076,-5.75,49,322,1,41.49048556,-71.52610194,6,78
3240700,56.70000076,-43.5,49,321.75,1,41.49072167,-71.52861194,6,73
3241700,56.70000076,123,49,329.5,1,41.49072167,-71.52861194,6,67
3242700,56.70000076,123.25,49,329.75,1,41.49072167,-71.52861194,6,64
3243700,56.70000076,88,49,328,1,41.49072167,-71.52861194,6,61
3244700,56.70000076,66,49,327,1,41.49072167,-71.52861194,6,59
3245700,56.70000076,67.5,49,327.75,1,41.49072167,-71.52861194,6,55
3246700,56.70000076,133,49,330.5,1,41.49072167,-71.52861194,6,47
3247700,56.70000076,130.75,49,331,1,41.49072167,-71.52861194,6,40
3248700,56.70000076,89,49,328.75,1,41.49072167,-71.52861194,6,35
3249700,56.70000076,65.25,49,327.75,1,41.49072167,-71.52861194,6,31
3250700,49.09999847,79.75,49,328.25,1,41.49090833,-71.53029306,6,24
3251700,49.09999847,50,49,327,1,41.49090833,-71.53029306,6,22
3252700,49.09999847,12.25,49,324.75,1,41.49090833,-71.53029306,6,20
3253700,49.09999847,45,49,326.25,1,41.49090833,-71.53029306,6,13
3254700,49.09999847,24,49,326,1,41.49090833,-71.53029306,6,5
3255700,49.09999847,-0.75,49,324,1,41.49090833,-71.53029306,6,10
3256700,49.09999847,-40.5,49,322,1,41.49090833,-71.53029306,6,19
3257700,49.09999847,-40.5,49,319.25,1,41.49090833,-71.53029306,6,19
3258700,49.09999847,-97.75,49,316.25,1,41.49090833,-71.53029306,6,30
3259700,49.09999847,-137.5,49,317.75,1,41.49090833,-71.53029306,6,40
3260700,49.09999847,-91.5,49,319.75,1,41.49090833,-71.53029306,6,45
3261700,46.40000153,-35,49,319.75,1,41.49101417,-71.5311625,6,47
3262700,46.40000153,0.5,49,323,1,41.49101417,-71.5311625,6,49
3263700,46.40000153,-5,49,323,1,41.49101417,-71.5311625,6,50
3264700,46.40000153,-2.25,49,323,1,41.49101417,-71.5311625,6,51
3265700,46.40000153,-4.25,49,323,1,41.49101417,-71.5311625,6,53
3266700,46.40000153,-12.5,49,323,1,41.49101417,-71.5311625,6,54
3267700,46.40000153,-7,49,323,1,41.49101417,-71.5311625,6,52
3268700,46.40000153,107,49,329,1,41.49101417,-71.5311625,6,47
3269700,46.40000153,91.75,49,329.25,1,41.49101417,-71.5311625,6,41
3270700,46.40000153,102,49,330.5,1,41.49101417,-71.5311625,6,36
3271700,38.70000076,29,49,326.5,1,41.49124278,-71.53271194,6,34
3272700,38.70000076,-2.25,49,325.5,1,41.49124278,-71.53271194,6,33
3273700,38.70000076,5.5,49,324.5,1,41.49124278,-71.53271194,6,33
3274700,38.70000076,-0.5,49,324,1,41.49124278,-71.53271194,6,32
3275700,38.70000076,0,49,324,1,41.49124278,-71.53271194,6,32
3276700,38.70000076,-0.75,49,324,1,41.49124278,-71.53271194,6,32
3277700,38.70000076,0,49,324,1,41.49124278,-71.53271194,6,31
3278700,38.70000076,0,49,324,1,41.49124278,-71.53271194,6,31
3279700,38.70000076,-0.5,49,324,1,41.49124278,-71.53271194,6,31
3280700,38.70000076,-0.75,49,324,1,41.49124278,-71.53271194,6,30
3281700,39,-5,49,324,1,41.49140556,-71.53376139,6,30
3282700,39,-5,49,324,1,41.49140556,-71.53376139,6,30
3283700,39,0,49,324,1,41.49140556,-71.53376139,6,29
3284700,39,-0.5,49,324,1,41.49140556,-71.53376139,6,29
3285700,39,0.5,49,323.75,1,41.49140556,-71.53376139,6,29
3286700,39,-1.25,49,323.75,1,41.49140556,-71.53376139,6,28
3287700,39,0,49,323.75,1,41.49140556,-71.53376139,6,28
3288700,39,-1,49,323.5,1,41.49140556,-71.53376139,6,27
3289700,39,-6.25,49,323.5,1,41.49140556,-71.53376139,6,27
3290700,39,-4.75,49,323.5,1,41.49140556,-71.53376139,6,27
3291700,38.09999847,-40.5,49,321.75,1,41.4915475,-71.53469389,6,29
3292700,38.09999847,-23.5,49,322.5,1,41.4915475,-71.53469389,6,29
3293700,38.09999847,-20,49,322.75,1,41.4915475,-71.53469389,6,30
3294700,38.09999847,-13.5,49,322.75,1,41.4915475,-71.53469389,6,30
3295700,38.09999847,-8.5,49,323.25,1,41.4915475,-71.53469389,6,30
3296700,38.09999847,-9.25,49,323.25,1,41.4915475,-71.53469389,6,26
3297700,38.09999847,29.5,49,325.5,1,41.4915475,-71.53469389,6,22
3298700,38.09999847,6,49,324.75,1,41.4915475,-71.53469389,6,20
3299700,38.09999847,-0.5,49,324,1,41.4915475,-71.53469389,6,18
3300700,38.09999847,12.25,49,324.5,1,41.4915475,-71.53469389,6,15
3301700,38.09999847,-0.5,49,324,1,41.49166083,-71.53550361,6,15
3302700,38.09999847,0.5,49,324,1,41.49166083,-71.53550361,6,14
3303700,38.09999847,0,49,324,1,41.49166083,-71.53550361,6,13
3304700,38.09999847,-0.5,49,324,1,41.49166083,-71.53550361,6,12
3305700,38.09999847,-0.5,49,324,1,41.49166083,-71.53550361,6,12
3306700,38.09999847,-0.5,49,324,1,41.49166083,-71.53550361,6,12
3307700,38.09999847,-0.75,49,324,1,41.49166083,-71.53550361,6,12
3308700,38.09999847,-0.75,49,324,1,41.49166083,-71.53550361,6,12
3309700,38.09999847,-0.5,49,323.75,1,41.49166083,-71.53550361,6,10
3310700,38.09999847,3.5,49,324,1,41.49166083,-71.53550361,6,10
3311700,37.29999924,-10.5,49,323,1,41.49171611,-71.53591083,6,10
3312700,37.29999924,-5.5,49,323.5,1,41.49171611,-71.53591083,6,9
3313700,37.29999924,-0.75,49,323.75,1,41.49171611,-71.53591083,6,5
3314700,37.29999924,-6.75,49,323.5,1,41.49171611,-71.53591083,6,2
3315700,37.29999924,-7,49,323.5,1,41.49171611,-71.53591083,6,3
3316700,37.29999924,-25,49,322.75,1,41.49171611,-71.53591083,6,11
3317700,37.29999924,-54.75,49,321,1,41.49171611,-71.53591083,6,19
3318700,37.29999924,-91,49,319,1,41.49171611,-71.53591083,6,27
3319700,37.29999924,-146.25,49,316.25,1,41.49171611,-71.53591083,6,39
3320700,37.29999924,-234,49,310.75,1,41.49171611,-71.53591083,6,51
3321700,38.29999924,-329.25,49,305,1,41.49181028,-71.53654806,6,62
3322700,38.29999924,-357,49,302.75,1,41.49181028,-71.53654806,6,72
3323700,38.29999924,-346.25,49,303,1,41.49181028,-71.53654806,6,73
3324700,38.29999924,-3,49,321.75,1,41.49181028,-71.53654806,6,72
3325700,38.29999924,1,49,322.25,1,41.49181028,-71.53654806,6,72
3326700,38.29999924,-132.25,49,316.75,1,41.49181028,-71.53654806,6,73
3327700,38.29999924,-2,49,322.25,1,41.49181028,-71.53654806,6,73
3328700,38.29999924,-41,49,318.5,1,41.49181028,-71.53654806,6,72
3329700,38.29999924,-41,49,322.25,1,41.49181028,-71.53654806,6,72
3330700,38.29999924,2.75,49,322,1,41.49181028,-71.53654806,6,71
3331700,37.20000076,-36.25,49,322,1,41.49175194,-71.53888278,6,76
3332700,37.20000076,-220.75,49,309.75,1,41.49175194,-71.53888278,6,77
3333700,37.20000076,2.5,49,322.25,1,41.49175194,-71.53888278,6,76
3334700,37.20000076,0.5,49,322.25,1,41.49175194,-71.53888278,6,74
3335700,37.20000076,-1,49,322.25,1,41.49175194,-71.53888278,6,73
3336700,37.20000076,-0.75,49,322,1,41.49175194,-71.53888278,6,72
3337700,37.20000076,-4.5,49,322,1,41.49175194,-71.53888278,6,70
3338700,37.20000076,59.75,49,325,1,41.49175194,-71.53888278,6,66
3339700,37.20000076,83.5,49,327,1,41.49175194,-71.53888278,6,61
3340700,37.20000076,94.75,49,329,1,41.49175194,-71.53888278,6,59
3341700,38.70000076,22,48.5,324.25,1,41.49063889,-71.540625,6,59
3342700,38.70000076,-6,48.5,322.5,1,41.49063889,-71.540625,6,58
3343700,38.70000076,-14.25,48.5,322.25,1,41.49063889,-71.540625,6,57
3344700,38.70000076,-48.25,48.5,320,1,41.49063889,-71.540625,6,58
3345700,38.70000076,-20.25,48.5,321.5,1,41.49063889,-71.540625,6,58
3346700,38.70000076,-24.25,48.5,322,1,41.49063889,-71.540625,6,58
3347700,38.70000076,-23.5,48.5,322,1,41.49063889,-71.540625,6,59
3348700,38.70000076,0,48.5,322.75,1,41.49063889,-71.540625,6,58
3349700,38.70000076,-1.5,48.5,322.75,1,41.49063889,-71.540625,6,60
3350700,38.70000076,-96.25,48.5,316,1,41.49063889,-71.540625,6,60
3351700,38.90000153,0,48.5,322.5,1,41.48955778,-71.54192333,6,60
3352700,38.90000153,-71.75,48.5,315.5,1,41.48955778,-71.54192333,6,61
3353700,38.90000153,-71.75,48.5,322.5,1,41.48955778,-71.54192333,6,61
3354700,38.90000153,-4.5,48.5,322.5,1,41.48955778,-71.54192333,6,62
3355700,38.90000153,-31,48.5,320.75,1,41.48955778,-71.54192333,6,62
3356700,38.90000153,-28,48.5,321,1,41.48955778,-71.54192333,6,62
3357700,38.90000153,-73.75,48.5,319.25,1,41.48955778,-71.54192333,6,64
3358700,38.90000153,2,48.5,322,1,41.48955778,-71.54192333,6,63
3359700,38.90000153,-3.75,48.5,322.5,1,41.48955778,-71.54192333,6,62
3360700,38.90000153,-15.25,48.5,322,1,41.48955778,-71.54192333,6,62
3361700,38.59999847,-13.5,48.5,321.75,1,41.48832167,-71.54315917,6,61
3362700,38.59999847,-9,48.5,322.25,1,41.48832167,-71.54315917,6,61
3363700,38.59999847,-14,48.5,322,1,41.48832167,-71.54315917,6,61
3364700,38.59999847,-31,48.5,321.75,1,41.48832167,-71.54315917,6,60
3365700,38.59999847,-6,48.5,322.5,1,41.48832167,-71.54315917,6,60
3366700,38.59999847,-2,48.5,322.5,1,41.48832167,-71.54315917,6,59
3367700,38.59999847,-3,48.5,322.5,1,41.48832167,-71.54315917,6,59
3368700,38.59999847,-6,48.5,322.5,1,41.48832167,-71.54315917,6,58
3369700,38.59999847,-5,48.5,322.5,1,41.48832167,-71.54315917,6,57
3370700,38.59999847,-3.75,48.5,322.5,1,41.48832167,-71.54315917,6,56
3371700,38.59999847,-6,48.5,322.5,1,41.48832167,-71.54315917,6,56
3372700,38.59999847,-8,48.5,322.75,1,41.48702667,-71.54442861,6,55
3373700,38.59999847,-6,48.5,322.75,1,41.48702667,-71.54442861,6,55
3374700,38.59999847,-7,48.5,323,1,41.48702667,-71.54442861,6,55
3375700,38.59999847,1,48.5,323,1,41.48702667,-71.54442861,6,55
3376700,38.59999847,1,48.5,323,1,41.48702667,-71.54442861,6,55
3377700,38.59999847,-1,48.5,322.75,1,41.48702667,-71.54442861,6,55
3378700,38.59999847,-0.5,48.5,322.75,1,41.48702667,-71.54442861,6,55
3379700,38.59999847,0.25,48.5,323,1,41.48702667,-71.54442861,6,55
3380700,38.59999847,1.25,48.5,323,1,41.48702667,-71.54442861,6,55
3381700,38.59999847,0.75,48.5,323,1,41.48702667,-71.54442861,6,55
3382700,36.59999847,1,48.5,323,1,41.48596611,-71.54556889,6,54
3383700,36.59999847,-85,48.5,318.25,1,41.48596611,-71.54556889,6,55
3384700,36.59999847,-21.5,48.5,319.75,1,41.48596611,-71.54556889,6,56
3385700,36.59999847,1.5,48.5,322.5,1,41.48596611,-71.54556889,6,55
3386700,36.59999847,2,48.5,322.75,1,41.48596611,-71.54556889,6,54
3387700,36.59999847,0,48.5,322.75,1,41.48596611,-71.54556889,6,54
3388700,36.59999847,-3.5,48.5,322.5,1,41.48596611,-71.54556889,6,54
3389700,36.59999847,-7,48.5,322.5,1,41.48596611,-71.54556889,6,54
3390700,36.59999847,-3.5,48.5,322.75,1,41.48596611,-71.54556889,6,53
3391700,36.59999847,-82.5,48.5,318.5,1,41.48596611,-71.54556889,6,56
3392700,37.09999847,-46.5,48.5,320,1,41.48492139,-71.54676028,6,56
3393700,37.09999847,-86.25,48.5,318,1,41.48492139,-71.54676028,6,57
3394700,37.09999847,-19.75,48.5,321.75,1,41.48492139,-71.54676028,6,58
3395700,37.09999847,-19.5,48.5,321.5,1,41.48492139,-71.54676028,6,58
3396700,37.09999847,-20.75,48.5,321.5,1,41.48492139,-71.54676028,6,58
3397700,37.09999847,-19,48.5,321.75,1,41.48492139,-71.54676028,6,58
3398700,37.09999847,-23.5,48.5,321.75,1,41.48492139,-71.54676028,6,58
3399700,37.09999847,-23.5,48.5,319.75,1,41.48492139,-71.54676028,6,58
3400700,37.09999847,-63.75,48.5,320.25,1,41.48492139,-71.54676028,6,58
3401700,37.09999847,-43,48.5,320.25,1,41.48492139,-71.54676028,6,59
3402700,38.40000153,-4.5,48.5,322.5,1,41.48381778,-71.54803833,6,59
3403700,38.40000153,-2.75,48.5,322.5,1,41.48381778,-71.54803833,6,59
3404700,38.40000153,1,48.5,322.75,1,41.48381778,-71.54803833,6,58
3405700,38.40000153,-1.25,48.5,322.75,1,41.48381778,-71.54803833,6,57
3406700,38.40000153,-0.5,48.5,322.5,1,41.48381778,-71.54803833,6,57
3407700,38.40000153,-0.75,48.5,322.75,1,41.48381778,-71.54803833,6,57
3408700,38.40000153,-1.25,48.5,322.5,1,41.48381778,-71.54803833,6,57
3409700,38.40000153,28.5,48.5,324,1,41.48381778,-71.54803833,6,58
3410700,38.40000153,85,48.5,328,1,41.48381778,-71.54803833,6,55
