--Meta Data--,,,,,,,,,
Start Time(UTC),LoggerName,Pck,Vin,,,,,,
11/30/2018 15:54,9170-0393,,,,,,,,
,,,,,,,,,
--Raw Data--,,,,,,,,,
Timestamp(ms),Altitude[m],HV Battery Current[A],HV Battery SOC[%],HV Battery Voltage[V],Is Driving[bool],Latitude[deg],Longitude[deg],OAT[degC],Vehicle Speed[km/h]
0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0
1200,0,-13.25,51,324.75,1,0,0,4,0
2200,0,-21.25,51,323.5,1,0,0,4,12
3200,0,-21.25,51,324,1,0,0,4,11
4200,0,-1.25,51,325.25,1,0,0,4,11
5200,0,-1,51,325,1,0,0,4,10
6200,0,-6,51,325.25,1,0,0,4,9
7200,0,6,51,325.75,1,0,0,4,3
8200,0,-1.5,51,325.25,1,0,0,4,2
9200,76.09999847,-1.5,51,325.25,1,41.48926528,-71.52164917,4,3
10200,76.09999847,-6.25,51,325.25,1,41.48926528,-71.52164917,4,15
11200,76.09999847,-6.25,51,319.75,1,41.48926528,-71.52164917,4,22
12200,76.09999847,-84.5,51,319,1,41.48926528,-71.52164917,4,22
13200,76.09999847,-123,51,311,1,41.48926528,-71.52164917,4,45
14200,76.09999847,-248,51,318,1,41.48926528,-71.52164917,4,47
15200,76.09999847,-116.25,51,318,1,41.48926528,-71.52164917,4,47
16200,76.09999847,0,51,324.5,1,41.48926528,-71.52164917,4,47
17200,76.09999847,-0.5,51,324.5,1,41.48926528,-71.52164917,4,48
18200,76.09999847,-0.5,51,324.25,1,41.48926528,-71.52164917,4,49
19200,76.09999847,0.5,51,324.5,1,41.48926528,-71.52164917,4,51
20200,76.09999847,-1,51,324.75,1,41.48926528,-71.52164917,4,52
21200,76.09999847,1.5,51,324.75,1,41.48926528,-71.52164917,4,53
22200,76.09999847,-2.75,51,324.25,1,41.48926528,-71.52164917,4,54
23200,76.09999847,36.25,51,325.25,1,41.48926528,-71.52164917,4,52
24200,76.09999847,97.5,51,330,1,41.48926528,-71.52164917,4,47
25200,76.09999847,110.5,51,330.25,1,41.48926528,-71.52164917,4,41
26200,76.09999847,85.75,51,329.75,1,41.48926528,-71.52164917,4,35
27200,76.09999847,77.5,51,329.5,1,41.48926528,-71.52164917,4,29
28200,76.09999847,68,51,329.25,1,41.48926528,-71.52164917,4,20
29200,76.09999847,46.25,51,329.25,1,41.48926528,-71.52164917,4,17
30200,76.09999847,-82.25,51,324.25,1,41.48926528,-71.52164917,4,25
31200,76.09999847,-125.5,51,319,1,41.48926528,-71.52164917,4,31
32200,76.09999847,-72.25,51,321.75,1,41.48926528,-71.52164917,4,31
33200,76.09999847,-72.25,51,319.25,1,41.48926528,-71.52164917,4,37
34200,81.09999847,-106.25,51,318.5,1,41.49019167,-71.52454833,4,42
35200,81.09999847,-116.5,51,320,1,41.49019167,-71.52454833,4,47
36200,81.09999847,-85.5,51,321.25,1,41.49019167,-71.52454833,4,49
37200,81.09999847,-62,51,322,1,41.49019167,-71.52454833,4,51
38200,81.09999847,-41,51,320.25,1,41.49019167,-71.52454833,4,53
39200,81.09999847,-72,51,320.25,1,41.49019167,-71.52454833,4,53
40200,81.09999847,-21.75,51,323.25,1,41.49019167,-71.52454833,4,54
41200,81.09999847,-61,51,321,1,41.49019167,-71.52454833,4,56
42200,81.09999847,-0.5,51,324.25,1,41.49019167,-71.52454833,4,56
43200,81.09999847,5,51,324.25,1,41.49019167,-71.52454833,4,56
44200,68.59999847,0,51,324,1,41.49050778,-71.52618417,4,56
45200,68.59999847,0.5,51,323.75,1,41.49050778,-71.52618417,4,56
46200,68.59999847,-0.5,51,324.25,1,41.49050778,-71.52618417,4,57
47200,68.59999847,-0.5,51,324,1,41.49050778,-71.52618417,4,58
48200,68.59999847,0.5,51,324,1,41.49050778,-71.52618417,4,59
49200,68.59999847,-0.5,51,324.25,1,41.49050778,-71.52618417,4,59
50200,68.59999847,-3.5,51,324.25,1,41.49050778,-71.52618417,4,60
51200,68.59999847,-7,51,324.75,1,41.49050778,-71.52618417,4,60
52200,68.59999847,-7.5,51,324.75,1,41.49050778,-71.52618417,4,60
53200,68.59999847,-10.5,51,324.75,1,41.49050778,-71.52618417,4,60
54200,63.40000153,-9.75,51,324.75,1,41.49069139,-71.52812667,4,60
55200,63.40000153,0.25,51,324.75,1,41.49069139,-71.52812667,4,61
56200,63.40000153,-2,51,325,1,41.49069139,-71.52812667,4,61
57200,63.40000153,2.5,51,324.75,1,41.49069139,-71.52812667,4,62
58200,63.40000153,2.5,51,324.75,1,41.49069139,-71.52812667,4,63
59200,63.40000153,3,51,327.25,1,41.49069139,-71.52812667,4,63
60200,63.40000153,77,51,332,1,41.49069139,-71.52812667,4,59
61200,63.40000153,121.5,51,331.75,1,41.49069139,-71.52812667,4,54
